Topic	Doc_ID	Title	words
37	40	A Quality Education: A Comprehensive Review of a Combined Longitudinal and Specialty Track Quality Improvement and Patient Safety Medical School Curriculum.	medical education nursing students simulation
-1	41	Neutrophil-epithelial interactions augment infectivity and pro-inflammatory responses to SARS-CoV-2 infection	health care study research used
-1	42	Ribosomally synthesized peptides, foreground players in microbial interactions: recent developments and unanswered questions.	health care study research used
-1	43	Learning from Missed Opportunities Through Reflective Practice.	health care study research used
-1	44	Diabetes Technology Use in Remote Pediatric Patients with Type 1 Diabetes Using Clinic-to-Clinic Telemedicine.	health care study research used
0	45	On the Number of Faces and Radii of Cells Induced by Gaussian Spherical Tessellations	prove theorem vertex algebra graphs
3	46	Early almond harvest as a strategy for sustainable irrigation, pest and disease management	plant plants species isolates cultivars
-1	47	Calcific Uremic Arteriolopathy: A Case Series and Review from an Inner-City Tertiary University Center in End-Stage Renal Disease Patients on Renal Replacement Therapy	health care study research used
9	48	Scalable and Programmable Neural Network Inference Accelerator Based on In-Memory Computing	learning network image deep neural
24	49	Good Neighbors: The Niche that Fine Tunes Mammalian Intestinal Regeneration.	cell cells cancer tumor survival
26	50	Reversible Cerebral Vasoconstriction Syndrome in the Setting of COVID-19 and Pleomorphic Sarcoma: A Case Report.	covid 19 sars cov infection
3	51	Global analysis of Hemileia vastatrix populations shows clonal reproduction for the coffee leaf rust pathogen throughout most of its range.	plant plants species isolates cultivars
36	52	Incentive Effects on Ethics	innovation firm firms organizational entrepreneurs
28	53	Pelvic Ring Injury Mortality: Are We Getting Better?	fracture fractures fixation trauma injuries
3	54	Gill microbiome structure and function in the chemosymbiotic coastal lucinid Stewartia floridana	plant plants species isolates cultivars
4	55	Sequenced crop evapotranspiration and water requirement in developing a multi-trigger rainfall index insurance and risk-contingent credit	species fish fisheries marine diversity
25	56	Optimal LQG Control of Networked Systems Under Traffic-Correlated Delay and Dropout	control optimization optimal problem tracking
-1	57	An eco-epidemiological model with social predation subject to a component Allee effect	health care study research used
-1	58	Extended Producer Responsibility for Pharmaceuticals	health care study research used
-1	59	Dynamics of a viscous drop under an oscillatory uniaxial extensional Stokes flow	health care study research used
3	60	Fungal strategies of potassium extraction from silicates of different resistance as manifested in differential weathering and gene expression	plant plants species isolates cultivars
10	61	Adiabatic quantum state transfer in a semiconductor quantum-dot spin chain	quantum spin hamiltonian magnetic states
-1	62	Inhibition of Cytochrome P450 Enzymes by Drugs-Molecular Basis and Practical Applications.	health care study research used
-1	63	Massive Uncoordinated Multiple Access for Beyond 5G	health care study research used
16	64	Evaluating the Psychometric Properties of the Psychological Capital Questionnaire (PCQ) in Patients with Parkinson's Disease.	pd ad cognitive alzheimer brain
29	65	Does Water Scarcity Affect Environmental Performance? Evidence from Manufacturing Facilities in Texas	environmental sustainability tourism bioeconomy sports
12	66	MULTIPLE LATE RECURRENCES OF MACULAR HOLE AFTER VITRECTOMY AND EPISODE OF SPONTANEOUS CLOSURE IN A SINGLE EYE.	retinal eye eyes vision oct
-1	67	International Consensus For The Dosing Of Corticosteroids In Childhood-Onset Systemic Lupus Erythematosus With Proliferative Lupus Nephritis.	health care study research used
-1	68	Transcriptomic Identification of Draxin-Responsive Targets During Cranial Neural Crest EMT.	health care study research used
-1	69	Quadratic Optimization-Based Nonlinear Control for Protein Conformation Prediction	health care study research used
26	70	Multidose evaluation of 6,710 drug repurposing library identifies potent SARS-CoV-2 infection inhibitors In Vitro and In Vivo.	covid 19 sars cov infection
16	71	Synaptic and behavioral effects of chronic stress are linked to dynamic and sex-specific changes in microglia function and astrocyte dystrophy.	pd ad cognitive alzheimer brain
26	72	Heart rate variability monitoring identifies asymptomatic toddlers exposed to Zika virus during pregnancy	covid 19 sars cov infection
17	73	Computational Approaches to Detect Illicit Drug Ads and Find Vendor Communities Within Social Media Platforms.	opioid alcohol use cud oud
-1	74	DART-HRMS as a Triage Approach for the Rapid Analysis of Cannabinoid-infused Edible Matrices, Personal-care Products and Cannabis sativa Hemp Plant Material	health care study research used
-1	75	Differentiable thermodynamic modeling	health care study research used
21	76	Short-circuit and Over-current Fault Detection for SiC MOSFET Modules Based on Tunnel Magnetoresistance with Predictive Capabilities	power energy load voltage proposed
11	77	Toward Engineering Intrinsic Line Widths and Line Broadening in Perovskite Nanoplatelets.	films charge hydrogen materials electron
24	78	The Economic Burden of NIPC and BOS Following allogeneic HSCT in Patients with Commercial Insurance in the United States.	cell cells cancer tumor survival
21	79	Shielding Optimization of IPT System Based on Genetic Algorithm for Efficiency Promotion in EV Wireless Charging Applications	power energy load voltage proposed
24	80	Germline GATA1s generating mutations predispose to leukemia with acquired trisomy 21 and Down syndrome-like phenotype.	cell cells cancer tumor survival
-1	81	The Clinical and Economic Benefit of CMV Matching in Kidney Transplant: A Decision Analysis.	health care study research used
-1	82	State densities of heavy nuclei in the static-path plus random-phase approximation	health care study research used
36	83	Multinational enterprise parent-subsidiary governance and survival	innovation firm firms organizational entrepreneurs
-1	84	Binary Scoring Rules that Incentivize Precision	health care study research used
-1	85	Linear Program-Based Approximation for Personalized Reserve Prices	health care study research used
-1	86	The Distinct Effects of Wealth- and CSR-oriented Shareholder Unrest on CEO Career Outcomes: A New Lens on Settling Up and Executive Job Demands	health care study research used
38	87	Math Anxiety in Math Methods Courses: Self-Exploration Tools for Healing During Remote Learning	students chapter jats education student
-1	88	Examining the development of memory for temporal context and its underlying neural processes using event-related potentials.	health care study research used
-1	89	The effect of neonatal, juvenile, and adult donors on rejuvenated neocartilage functional properties.	health care study research used
-1	90	Performance of the 2017 EULAR/ACR classification criteria for inflammatory myopathies in patients with myositis-specific autoantibodies.	health care study research used
24	91	Futibatinib, an irreversible FGFR1-4 inhibitor, in patients with advanced solid tumors harboring FGF/FGFR aberrations: a phase I dose-expansion study.	cell cells cancer tumor survival
20	92	Community-based Lung Cancer Screening Results in Relation to Patient and Radiologist Characteristics: the PROSPR Consortium.	lung copd asthma fibrosis airway
-1	93	Enhancing Analytical Reasoning in the Intensive Care Unit.	health care study research used
23	94	Pulmonary arterial hypertension: updates in epidemiology and evaluation of patients.	pulmonary heart ventricular af ecmo
8	95	Imposing equilibrium on experimental 3-D stress fields using Hodge decomposition and FFT-based optimization	alloys alloy corrosion grain material
-1	96	Government Responsiveness in Developing Countries	health care study research used
1	97	The effect of a dacitic (rhyolitic) tuff breccia on growth, intestinal health, and inflammatory and antioxidant responses in broilers challenged with a chronic cyclic heat stress	milk cows beef production semen
15	98	Association of obstructive sleep apnea and nocturnal hypoxemia with all-cancer incidence and mortality: a systematic review and meta-analysis	sleep osa apnea cbt insomnia
13	99	Review of the Reliability and Validity of the Apgar Score.	fetal ultrasound placenta pas placental
-1	100	RNA Interference-Mediated Knockdown of Genes Encoding Spore Wall Proteins Confers Protection against Nosema ceranae Infection in the European Honey Bee, Apis mellifera .	health care study research used
16	101	Influence of glutamate and GABA transport on brain excitatory/inhibitory balance.	pd ad cognitive alzheimer brain
37	102	The State of Point-of-Care Ultrasound Training in Undergraduate Medical Education: Findings From a National Survey.	medical education nursing students simulation
-1	103	Ranitidine and risk of bladder and kidney cancer: a population based cohort study	health care study research used
-1	104	Extrema indiferencia: La población extranjera en las cárceles chilenas (Extreme indifference: Foreigners in Chilean prisons)	health care study research used
30	105	Research Anthology on Business Aspects of Cybersecurity - The NIST Cybersecurity Framework	security privacy computing attacks communication
12	106	Mechanistic determination of tear film thinning via fitting simplified models to tear breakup	retinal eye eyes vision oct
24	107	Sustained Minimal Residual Disease Negativity With Daratumumab in Newly Diagnosed Multiple Myeloma: MAIA and ALCYONE.	cell cells cancer tumor survival
9	108	Effective and Efficient Batch Normalization Using a Few Uncorrelated Data for Statistics Estimation	learning network image deep neural
-1	109	Real-Time Removal of Topographic Artifacts in Scanning Microwave Microscopy	health care study research used
9	110	Interpretable Survival Prediction for Colorectal Cancer using Deep Learning	learning network image deep neural
25	111	The refinement calculus of reactive systems	control optimization optimal problem tracking
-1	112	The Effect of Delayed Reporting on Mock-Juror Decision-Making in the Era of #MeToo.	health care study research used
13	113	Reference charts of fetal brain structures for magnetic resonance imaging: a systematic review.	fetal ultrasound placenta pas placental
24	114	How Drosophila Can Inform the Emerging Paradigm of the Role of Antioxidants in Cancer.	cell cells cancer tumor survival
-1	115	Following the thread: Mytilus mussel byssus as an inspired multi-functional biomaterial	health care study research used
-1	116	A Qualitative Exploration of the Psychological Experience of Patients Hospitalized With COVID-19	health care study research used
38	117	Diderot: This Is Not a Story	students chapter jats education student
-1	118	Quality of life, depressive symptoms, anxiety, and sexual function in mothers of neonates with congenital syphilis in the Northeast Brazil: A cohort study	health care study research used
-1	119	Advances in Medical Education, Research, and Ethics - Innovative Adaptation of Training and Technical Assistance: Education for the Behavioral Health Workforce	health care study research used
10	120	Plasmons: untangling the classical, experimental, and quantum mechanical definitions.	quantum spin hamiltonian magnetic states
-1	121	Postoperative Pharynx and Larynx.	health care study research used
24	122	c-MYC and Epithelial Ovarian Cancer.	cell cells cancer tumor survival
-1	123	Design and Syntheses of New Antibiotics Inspired by Nature's Quest for Iron in an Oxidative Climate.	health care study research used
-1	124	Normal Skin Findings and Cultural Practices in Pediatric Patients with Skin of Color	health care study research used
21	125	Modified Z-Source DC Circuit Breaker With Enhanced Performance During Commissioning and Reclosing	power energy load voltage proposed
30	126	Defensive cost-benefit analysis of smart grid digital functionalities	security privacy computing attacks communication
24	127	Expenditures in Young Adults with Hodgkin Lymphoma: NCI-designated Comprehensive Cancer Centers vs. Other Sites	cell cells cancer tumor survival
24	128	PLCG1 is required for AML1-ETO leukemia stem cell self-renewal	cell cells cancer tumor survival
-1	129	Temperature Dependence of the Impact Ionization Coefficients in AlAsSb Lattice Matched to InP	health care study research used
9	130	Shape-Matching GAN++: Scale Controllable Dynamic Artistic Text Style Transfer	learning network image deep neural
-1	131	Emerging Opportunities for 2D Semiconductor/Ferroelectric Transistor-Structure Devices.	health care study research used
-1	132	Realigning alignment: The completeness typology applied to case marking in Jê languages	health care study research used
35	133	The cost of steering in financial markets: Evidence from the mortgage market	financial banks monetary debt stock
23	134	Direct Pull-Through Technique to Insert the Impella RP Device Without Using Fluoroscopy.	pulmonary heart ventricular af ecmo
5	135	The wide upper main sequence and main-sequence turnoff of the ∼ 800 Myr old star cluster NGC 1831	surface italic satellite ocean observations
-1	136	Reductions in Cardiac Structure and Function 24 Months After Spinal Cord Injury: A Cross-Sectional Study.	health care study research used
26	137	Comprehensive Laboratory Data Analysis to Predict the Clinical Severity of Coronavirus Disease 2019 in 1,952 Patients in Daegu, Korea	covid 19 sars cov infection
28	138	Nonoperative treatment of select LC-II pelvic ring injuries (OTA/AO 61B2.2) results in a low rate of radiographic displacement.	fracture fractures fixation trauma injuries
4	139	The influences of pre- and post-smolt captive rearing environments on growth, maturation, body size, and reproductive success of steelhead (Oncorhynchus mykiss) released as adults.	species fish fisheries marine diversity
-1	140	Ectopic Cervical Thymus: A Common, yet Rarely Symptomatic Pediatric Neck Mass.	health care study research used
33	141	Effects of offering incentives for reviews on trust: Role of review quality and incentive source	privacy trust media influence marketing
-1	142	The New Genetic Evidence on Same-Gender Sexuality: Implications for Sexual Fluidity and Multiple Forms of Sexual Diversity.	health care study research used
9	143	Unsupervised Learning of ALS Point Clouds for 3-D Terrain Scene Clustering	learning network image deep neural
7	144	Unbonded Post-Tensioned Structural Masonry Wall with Rubber Interface for Limited-Damage Systems	concrete asphalt seismic soil masonry
8	145	Applications of Artificial Intelligence in Additive Manufacturing - Application of Machine Learning Techniques in Additive Manufacturing: A Review	alloys alloy corrosion grain material
5	146	A multicity analysis of daytime Surface Urban Heat Islands in India and the US.	surface italic satellite ocean observations
-1	147	Public attitudes in the United States toward insurance coverage for in vitro fertilization and the provision of infertility services to lower income patients	health care study research used
5	148	The Ion Transition Range of Solar Wind Turbulence in the Inner Heliosphere: Parker Solar Probe Observations	surface italic satellite ocean observations
24	149	Abstract PO023: Immune-mediated tumor growth inhibition by selective HDAC6 inhibitor SP-2-225	cell cells cancer tumor survival
9	150	Deep Learning-based Phenotypic Assessment of Red Cell Storage Lesions for Safe Transfusions.	learning network image deep neural
-1	151	Beneficial Effects of Non-Invasive Ventilation After Extubation in Obese or Overweight Patients: A Post-Hoc Analysis of a Randomized Clinical Trial.	health care study research used
35	152	Intangible Investments, Scaling, and The Trend in The Accrual-Cash Flow Association	financial banks monetary debt stock
-1	153	Building and Maintaining the Skin.	health care study research used
21	154	Another look at “2019 energy benchmarking data for LEED-certified buildings in Washington”	power energy load voltage proposed
32	155	The Impact of Simultaneous Hospital Participation in Accountable Care Organizations and Bundled Payments on Episode Outcomes.	nurses care burnout staff nurse
16	156	Altered Phosphorylation of the Proteasome Subunit Rpt6 Has Minimal Impact on Synaptic Plasticity and Learning.	pd ad cognitive alzheimer brain
26	157	Health taxes on tobacco, alcohol, food and drinks in low- and middle-income countries: a scoping review of policy content, actors, process and context	covid 19 sars cov infection
-1	158	Computational inference of vibratory system with incomplete modal information using parallel, interactive and adaptive Markov chains	health care study research used
23	159	Cyclic guanosine monophosphate and 10-year change in left ventricular mass: the Multi-Ethnic Study of Atherosclerosis (MESA).	pulmonary heart ventricular af ecmo
3	160	Two New Bacterial Pathogens of Peanut Causing Early Seedling Decline Disease Identified in the Texas Panhandle.	plant plants species isolates cultivars
21	161	Hybrid-Mode PFM Control for LLC Resonant Converter	power energy load voltage proposed
-1	162	Where greenspace matters most: A systematic review of urbanicity, greenspace, and physical health	health care study research used
-1	163	The Line Between Medicaid and Marketplace: Coverage Effects from Wisconsin's Partial Expansion.	health care study research used
-1	164	Complications after radical nephrectomy according to age: analysis from the British Association of Urological Surgeons Nephrectomy Audit.	health care study research used
-1	165	Default Predicted No Effect Target Concentrations for Antibiotics in the Absence of Data for the Protection Against Antibiotic Resistance and Environmental Toxicity	health care study research used
-1	166	Soil organic carbon saturation in cropland-grassland systems: Storage potential and soil quality	health care study research used
3	167	First Report of Fusarium falciforme (FSSC 3+4) Causing Rot of Industrial Hemp (Cannabis sativa) in California.	plant plants species isolates cultivars
-1	168	Exploring the Effect of COVID-19 on Graduate Nursing Education.	health care study research used
-1	169	Muscular forces responsible for proximal humeral deformity following fracture.	health care study research used
11	170	Neutron vibrational spectroscopic evidence for short H∙∙∙H contacts in the RNiInH1.4; 1.6 (R = Ce, La) metal hydride	films charge hydrogen materials electron
7	171	Simplified Method for the Lateral, Rotational, and Torsional Static Stiffness of Circular Footings on a Nonhomogeneous Elastic Half-Space Based on a Work-Equivalent Framework	concrete asphalt seismic soil masonry
11	172	Nonaqueous hybrid redox flow energy storage with a sodium–TEMPO chemistry and a single-ion solid electrolyte separator	films charge hydrogen materials electron
-1	173	Modularity and hierarchy in biological systems: Using gene regulatory networks to understand evolutionary change.	health care study research used
-1	174	Reimagining Today’s Legal Education for Tomorrow’s Lawyers: The Role of Legal Design, Technology and Innovation	health care study research used
21	175	Potential of Solatube technology as passive daylight systems for sustainable buildings in Saudi Arabia	power energy load voltage proposed
-1	176	Passive versus Active Service Delivery: Comparing the Effects of Two Parenting Interventions on Early Cognitive Development in Rural China	health care study research used
-1	177	Towards a qAOP Framework for Predictive Toxicology - Linking Data to Decisions	health care study research used
0	178	New examples of minimal non-strongly-perfect graphs	prove theorem vertex algebra graphs
38	179	Evaluating Litigation as a Structural Strategy for Addressing Bias-Based Bullying Among Youth.	students chapter jats education student
-1	180	Desiccation-induced curling of mud layers: Field observations and experimental insights	health care study research used
-1	181	Analytical Models to Characterize Trade-Offs Between Technological Upgrading and Innovation	health care study research used
9	182	Use of machine learning to predict clinical decision support compliance, reduce alert burden, and evaluate duplicate laboratory test ordering alerts	learning network image deep neural
24	183	Metabolic Analysis of the Asparagine and Glutamine Dynamics in an Industrial CHO Fed-Batch Process.	cell cells cancer tumor survival
36	184	Firm size, corporate debt, R&D activity, and agency costs: Exploring dynamic and non-linear effects	innovation firm firms organizational entrepreneurs
-1	185	Rigorous Derivation of a Ternary Boltzmann Equation for a Classical System of Particles	health care study research used
24	186	Bacterial genotoxin accelerates transient infection-driven murine colon tumorigenesis.	cell cells cancer tumor survival
-1	187	Magnetoelastic instabilities in soft laminates with ferromagnetic hyperelastic phases	health care study research used
-1	188	Improve the clinical effective decision of the oral feeding readiness in preterm infants: Revise and validate the TC-POFRAS.	health care study research used
-1	189	A Sarcina bacterium linked to lethal disease in sanctuary chimpanzees in Sierra Leone.	health care study research used
9	190	Revisiting Image-Language Networks for Open-ended Phrase Detection.	learning network image deep neural
24	191	Targeting the ATM Kinase to Enhance the Efficacy of Radiotherapy and Outcomes for Cancer Patients.	cell cells cancer tumor survival
8	192	The effect of laser shock peening with and without protective coating on intergranular corrosion of sensitized AA5083	alloys alloy corrosion grain material
30	193	Capture-aware identification of mobile RFID tags with unreliable channels	security privacy computing attacks communication
-1	194	Comparative study of H3O+ (aq) and NH4+ (aq) on electrophoresis, protonating ability, and sodiation of proteins	health care study research used
18	195	The Economic Burden of Cystoscopy-Based Ureteral Stent Removal in the United States: An Analysis of Nearly 30,000 Patients	urinary stone laparoscopic leak sacrocolpopexy
26	196	Asthma Phenotypes and COVID-19 Risk: A Population-based Observational Study.	covid 19 sars cov infection
-1	197	Setting-Less Nonunit Protection Method for DC Line Faults in VSC-MTdc Systems	health care study research used
0	198	On the Robustness of Nominally Well-Posed Event-Triggered Controllers	prove theorem vertex algebra graphs
30	199	libEnsemble: A Library to Coordinate the Concurrent Evaluation of Dynamic Ensembles of Calculations	security privacy computing attacks communication
-1	200	ANAP: A versatile, fluorescent probe of ion channel gating and regulation.	health care study research used
-1	201	“The business is about knowing who to sell to”: Nigerian retail-level drug dealers’ strategies for avoiding police arrest	health care study research used
16	202	Physician Diagnosis and Knowledge of Mild Cognitive Impairment.	pd ad cognitive alzheimer brain
-1	203	Trace-Level Determination of Acrylonitrile Generated in the Manufacturing Process of Oligonucleotides by Static Headspace Gas Chromatography with an Electron Impact(+) Mass Detector	health care study research used
12	204	The Spectrum of Internal Limiting Membrane Disease in Alport Syndrome: a Multimodal Imaging Study.	retinal eye eyes vision oct
25	205	Convex Inner Approximation for Mixed $H_2$ / $H_\infty$ Control With Application to a 2-DoF Flexure-Based Nanopositioning System	control optimization optimal problem tracking
29	206	Using Q-methodology in environmental sustainability research: A bibliometric analysis and systematic review	environmental sustainability tourism bioeconomy sports
-1	207	Pro-inflammatory Profiles in Cardiovascular Disease Patients with Peri-implantitis.	health care study research used
20	208	Inhaled Pulmonary Vasodilator Therapy in Adult Lung Transplant: A Randomized Clinical Trial.	lung copd asthma fibrosis airway
5	209	Revisiting the Intraseasonal Variability of Chlorophyll-a in the Adjacent Luzon Strait With a New Gap-Filled Remote Sensing Data Set	surface italic satellite ocean observations
23	210	Common UGT1A9 polymorphisms do not have a clinically meaningful impact on the apparent oral clearance of dapagliflozin in type 2 diabetes mellitus.	pulmonary heart ventricular af ecmo
5	211	A Novel Channel Errors Calibration Algorithm for Multichannel High-Resolution and Wide-Swath SAR Imaging	surface italic satellite ocean observations
-1	212	On the wave dispersion in functionally graded porous Timoshenko-Ehrenfest nanobeams based on the higher-order nonlocal gradient elasticity	health care study research used
-1	213	Systemic Autoinflammatory Diseases: A Growing Family of Disorders of Overlapping Immune Dysfunction.	health care study research used
24	214	HSP90-Specific nIR Probe Identifies Aggressive Prostate Cancers: Translation from Preclinical Models to a Human Phase I Study.	cell cells cancer tumor survival
27	215	Trunk motion and anterior cruciate ligament injuries: a narrative review of injury videos and controlled jump-landing and cutting tasks	knee oa rotation acl hip
38	216	W obronie uniformitaryzmu	students chapter jats education student
23	217	Clinical Utility of SPECT in the Heart Transplant Population: Analysis from a Single Large-Volume Center.	pulmonary heart ventricular af ecmo
-1	218	Recent progress in the treatment of non-systemic juvenile idiopathic arthritis.	health care study research used
-1	219	Adaptive Beamforming for Multi-Function In-Band Full-Duplex Applications	health care study research used
-1	220	Psychological Characteristics and Goals of Caregivers Choosing Continuous Glucose Monitoring for Children With Type 1 Diabetes	health care study research used
27	221	Assessment of central aponeurosis curvature as an index of rectus femoris muscle overstrain in individuals with knee osteoarthritis	knee oa rotation acl hip
-1	222	Clinical and preclinical evidence for roles of soluble epoxide hydrolase in osteoarthritis knee pain.	health care study research used
26	223	Brain imaging before and after COVID-19 in UK Biobank	covid 19 sars cov infection
24	224	Targeting RNA polymerase II Mediator subunits in cancer therapy.	cell cells cancer tumor survival
-1	225	The Impact of Health Delivery Integration on Cancer Outcomes.	health care study research used
9	226	A review of speaker diarization: Recent advances with deep learning	learning network image deep neural
26	227	Equitable and Effective Distribution of the COVID-19 Vaccines - A Scientific and Moral Obligation.	covid 19 sars cov infection
23	228	Favorable Hemocompatibility in HeartMate 3 May Prevent Thrombosis After Prolonged Pump Cessation.	pulmonary heart ventricular af ecmo
24	229	Tailoring Aggregation Extent of Photosensitizer to Boost Phototherapy Potency for Eliciting Systemic Antitumor Immunity.	cell cells cancer tumor survival
30	230	Smart adaptive collision avoidance for IEEE 802.11	security privacy computing attacks communication
-1	231	DFT study of “unlayered graphene solid” formation, in liquid carbon droplets at low pressures	health care study research used
0	232	Three-Dimensional Mirror Symmetry and Elliptic Stable Envelopes	prove theorem vertex algebra graphs
24	233	Natural history of Waldenström macroglobulinemia following acquired resistance to ibrutinib monotherapy.	cell cells cancer tumor survival
6	234	Two-fluid modeling of heat transfer in flows of dense suspensions	numerical heat boundary order flow
6	235	An optimization-based approach to parameter learning for fractional type nonlocal models	numerical heat boundary order flow
-1	236	Machine learning for combustion	health care study research used
-1	237	Cytomegalovirus Donor Seropositivity Negatively Affects Survival After Heart Transplantation.	health care study research used
30	238	An Adaptive Application Framework with Customizable Quality Metrics	security privacy computing attacks communication
-1	239	KLIFF: A framework to develop physics-based and machine learning interatomic potentials	health care study research used
5	240	On-Orbit Calibration and Performance of NOAA-20 VIIRS Reflective Solar Bands	surface italic satellite ocean observations
30	241	Access Control Mechanisms in Named Data Networks: A Comprehensive Survey	security privacy computing attacks communication
34	242	Cross-national differences in market response: Line-length, price, and distribution elasticities in fourteen Indo-Pacific Rim economies	marketing externality entry price consumer
4	243	Drivers of change in U.S. forests and forestry over the next 20 years - Education as a driver of change in U.S. forests and the forest sector	species fish fisheries marine diversity
31	244	Framework to Implement Performance-Based Contracting for Chip-Seal Road Maintenance	transit traffic vehicle travel transportation
3	245	Spatial phylogenetics of the Chinese angiosperm flora provides insights into endemism and conservation	plant plants species isolates cultivars
11	246	Planar refractive index patterning through microcontact photo-thermal annealing of a printable organic/inorganic hybrid material	films charge hydrogen materials electron
-1	247	The effect of a statewide COVID-19 shelter-in-place order on shoulder arthroplasty for proximal humerus fracture volume and length of stay	health care study research used
37	248	We Have No Choice but to Transform: The Future of Medical Education After the COVID-19 Pandemic.	medical education nursing students simulation
9	249	Max-Margin Deep Diverse Latent Dirichlet Allocation With Continual Learning	learning network image deep neural
-1	250	Modeling and implementation of a digital twin of material flows based on physics simulation	health care study research used
9	251	S2OSC: A Holistic Semi-Supervised Approach for Open Set Classification	learning network image deep neural
-1	252	Studying Construction Claims Due to COVID-19 for Road and Highway Projects	health care study research used
-1	253	Elemental diet therapy for eosinophilic gastroenteritis and dietary habits.	health care study research used
-1	254	Balance Recoverability and Control of Bipedal Walkers with Foot Slip.	health care study research used
24	255	Aprepitant For Cough in Lung Cancer: A Randomised Placebo-Controlled Trial and Mechanistic Insights	cell cells cancer tumor survival
-1	256	Large-Scale Syntheses of 2-D Materials: Flash Joule Heating and Other Methods.	health care study research used
26	257	Epidemiological and evolutionary considerations of SARS-CoV-2 vaccine dosing regimes.	covid 19 sars cov infection
-1	258	Who fits into the digital workplace? Mapping digital self-efficacy and agility onto psychological traits	health care study research used
24	259	ORP4L is a prerequisite for the induction of T-cell leukemogenesis associated with human T-cell leukemia virus 1.	cell cells cancer tumor survival
31	260	A recursive logit model with choice aversion and its application to transportation networks	transit traffic vehicle travel transportation
