Topic	Doc_ID	Title	Tag
-1	53	ORGANIC METAL COMPOUND, ORGANIC LIGHT EMITTING DIODE AND ORGANIC LIGHT EMITTING DEVICE HAVING THE COMPOUND	Tag
4	54	Memory Access Technology and Computer System	Tag
4	55	SYSTEM AND METHOD FOR SECURE FILE AND DATA TRANSFERS	Tag
-1	56	ASSEMBLY OF STACKED ELEMENTS AND METHOD OF PRODUCING THE SAME	Tag
-1	57	KERATOPROSTHESIS DEVICES AND KITS AND SURGICAL METHODS OF THEIR USE	Tag
17	58	TREATMENT OF HEART FAILURE AND/OR POST INFARCT PATHOLOGICAL REMODELING BY EX VIVO REPROGRAMMED IMMUNE CELLS	Tag
0	59	STRUCTURE OF SEMICONDUCTOR DEVICE AND METHOD FOR FABRICATING THE SAME	Tag
6	60	ARRAY SUBSTRATE, DISPLAY PANEL AND DISPLAY DEVICE	Tag
-1	61	TOUCH PAD STRUCTURE	Tag
4	62	SYSTEM AND METHOD FOR IN-MEMORY COMPUTATION	Tag
-1	63	TONER	Tag
7	64	WAVELENGTH CONVERSION MODULE AND PROJECTOR	Tag
2	65	POWER CONTROL DEVICE AND CONTROL METHOD THEREOF	Tag
-1	66	Automatic Location Placement System	Tag
3	67	OPEN ACTIVE NOISE CANCELLATION SYSTEM	Tag
-1	68	HYBRID-TREE CODING FOR INTER AND INTRA PREDICTION FOR GEOMETRY CODING	Tag
4	69	SYSTEM AND METHOD FOR PRODUCT RECOMMENDATION BASED ON MULTIMODAL FASHION KNOWLEDGE GRAPH	Tag
-1	70	TOUCH CONTROL SUBSTRATE AND DISPLAY DEVICE	Tag
15	71	COMPOSITE CRYSTAL FLOORING AND MANUFACTURING METHOD THEREOF	Tag
-1	72	Systems for Passive Microwave Remote Sensing and Their Calibration Methods	Tag
-1	73	FEATURE-BASED VIDEO ANNOTATION	Tag
-1	74	HIGH-RESOLUTION ACOUSTIC PIPE CONDITION ASSESSMENT USING IN-BRACKET PIPE EXCITATION	Tag
2	75	POWER CONVERTER	Tag
0	76	SYSTEMS AND METHODS FOR REDUCING THE SIZE OF A SEMICONDUCTOR ASSEMBLY	Tag
4	77	SYSTEMS AND METHODS FOR FACILITATING INTENT-BASED ADVERTISING AND OFFERS	Tag
4	78	Method and Apparatus for Generating Physical Network Topology	Tag
-1	79	GATE VALVE	Tag
4	80	Convergent Multi-Bit Feedback System	Tag
0	81	PACKAGE STRUCTURE AND METHOD FOR FORMING SAME	Tag
-1	82	BIO-COMPATIBLE POLYURETHANE MICROCAPSULES AND PROCESS FOR THE PREPARATION THEREOF	Tag
-1	83	CHARGING CONTROLLER	Tag
-1	84	TEST APPARATUS, TEST METHOD AND PROGRAM	Tag
-1	85	PREDICTIVE MAINTENANCE SYSTEMS AND METHODS TO DETERMINE END GUN HEALTH	Tag
4	86	DATA TRANSMISSION METHOD AND DEVICE OF SERVER FIRMWARE VIA HTTP/HTTPS	Tag
5	87	MONITORING DEVICE AND METHOD	Tag
-1	88	Personal Content Managed during Extended Display Screen Recording	Tag
4	89	SUBBAND REFERENCE SIGNAL MEASUREMENTS	Tag
4	90	INTERFERENCE DETECTION AND INTERFERENCE SUPPRESSION OF REVERSE LINK COMMUNICATION IN FEEDER LINK OF HAPS COMMUNICATION SYSTEM	Tag
-1	91	Pump Engine for Hydraulic Capsule Pipeline	Tag
20	92	COATED CUTTING TOOL	Tag
-1	93	PRIMARY CHARGED PARTICLE BEAM CURRENT MEASUREMENT	Tag
4	94	Method for Quality of Experience Measurement and Communication Apparatus	Tag
6	95	APPARATUS, METHOD AND STORAGE MEDIUM	Tag
4	96	SELF LEARNING DATA LOADING OPTIMIZATION FOR A RULE ENGINE	Tag
4	97	STREAMING-FRIENDLY TECHNOLOGY FOR DETECTION OF DATA	Tag
5	98	PORTABLE SELF-DESCRIBING REPRESENTATIONS OF MEASUREMENTS	Tag
-1	99	BULK-ACOUSTIC WAVE RESONATOR AND METHOD FOR FABRICATING BULK-ACOUSTIC WAVE RESONATOR	Tag
20	100	CHUCK PIN ASSEMBLY, AND SUBSTRATE HOLDING APPARATUS AND LIQUID PROCESSING APPARATUS INCLUDING SAME	Tag
-1	101	SILICONE-BASED ADHESIVE PROTECTION FILM AND OPTICAL MEMBER COMPRISING SAME	Tag
0	102	PRINTED PACKAGE AND METHOD OF MAKING THE SAME	Tag
6	103	INFORMATION DISPLAY DEVICE AND ACTIVITY PLAN DISPLAY SYSTEM	Tag
4	104	CONTACTLESS POST-DINING EXPERIENCE SYSTEM AND METHOD	Tag
19	105	TRAVEL SERVICE	Tag
0	106	SEMICONDUCTOR DEVICE AND MEMORY SYSTEM	Tag
-1	107	Visual Editor For Designing Augmented-Reality Effects that Utilize Voice Recognition	Tag
0	108	INTEGRATED CIRCUIT DEVICES	Tag
15	109	THERMOPLASTIC COMPOSITE MATERIAL	Tag
-1	110	AUXILIARY PROPULSION APPARATUS FOR AIR VEHICLE	Tag
-1	111	T-SHAPED TOOL, AND METHOD FOR MANUFACTURING T-SHAPED TOOL	Tag
-1	112	Flexible Insulated Beverage Holder with Rigid Plate and Handle	Tag
10	113	METHOD AND APPARATUS FOR BUILDING IMAGE ENHANCEMENT MODEL AND FOR IMAGE ENHANCEMENT	Tag
1	114	NEGATIVE ELECTRODE PLATE, SECONDARY BATTERY AND APPARATUS THEREOF	Tag
10	115	SEMI-AUTOMATED SYSTEM FOR REAL-TIME WOUND IMAGE SEGMENTATION AND PHOTOGRAMMETRY ON A MOBILE PLATFORM	Tag
-1	116	Electrode for Electrolysis	Tag
-1	117	RADIOTHERAPY METHODS, SYSTEMS, AND WORKFLOW-ORIENTED GRAPHICAL USER INTERFACES	Tag
-1	118	OIL RETURN CONTROL METHOD OF MULTI-FUNCTIONAL MULTI-SPLIT SYSTEM WITH DOUBLE FOUR-WAY VALVES	Tag
-1	119	BLADE SUPPORT FRAME FOR DOZER AND METHOD OF MANUFACTURING THE SAME	Tag
-1	120	LOAD-SENSING MULTI-WAY VALVE WORK SECTION	Tag
0	121	PRINTED CIRCUIT BOARD	Tag
0	122	CONNECTION STRUCTURE EMBEDDED SUBSTRATE	Tag
4	123	THREE-DIMENSIONAL MEMORY DEVICE HAVING SOURCE-SELECT-GATE CUT STRUCTURES AND METHODS FOR FORMING THE SAME	Tag
4	124	ELECTRONIC APPARATUS CAPABLE OF COMMUNICATING WITH CONTENT PROCESSING SYSTEM, METHOD FOR CONTROLLING THE SAME, AND STORAGE MEDIUM	Tag
-1	125	INFRARED DEVICE AND A METHOD OF MANUFACTURING THE SAME	Tag
14	126	MICRO PUREE MACHINE	Tag
0	127	OPTICAL DIE-LAST WAFER-LEVEL FANOUT PACKAGE WITH FIBER ATTACH CAPABILITY	Tag
4	128	TECHNIQUES FOR SUGGESTING SKILLS	Tag
-1	129	Coupleable, Unmanned Ground Vehicles with Coordinated Control	Tag
17	130	ANTITUMOR COMPOSITION	Tag
4	131	MULTI-LAYER PHASE CHANGE MEMORY DEVICE	Tag
20	132	COUPLING DEVICE FOR COUPLING A ROD TO A BONE ANCHOR	Tag
19	133	METHOD AND SYSTEM FOR DETECTING AND ALERTING COLLISION BY AUTONOMOUS ROBOT BASED ON MULTI-SENSOR LSTM	Tag
18	134	SYSTEMS AND METHODS FOR GUIDANCE OF INTRALUMINAL DEVICES WITHIN THE VASCULATURE	Tag
4	135	METHOD AND SYSTEMS FOR RECEIVING INCOMING SERVICE NOTIFICATION FOR SECOND SIM NETWORK USING FIRST SIM NETWORK	Tag
7	136	LIGHTING APPARATUS	Tag
-1	137	Digital License Tag	Tag
-1	138	Implantable medical device for lubrication of a synovial joint	Tag
0	139	SEMICONDUCTOR PACKAGE	Tag
0	140	SEMICONDUCTOR STRUCTURE AND METHOD FOR FORMING THE SAME	Tag
0	141	APPARATUSES AND METHODS FOR PACKAGING	Tag
-1	142	VENTILATOR	Tag
10	143	Systems and Methods for Adjusting Appearance of Objects in Medical Images	Tag
-1	144	ANTENNA BOARD	Tag
-1	145	Multifunctional Vibration Equipment With Less Noise	Tag
4	146	PRE-EMPTIVE CONTAINER LOAD-BALANCING, AUTO-SCALING AND PLACEMENT	Tag
-1	147	SLEEPINESS PREDICTION DEVICE, MOVING BODY, AND SLEEPINESS PREDICTION METHOD	Tag
-1	148	APPARATUS AND METHOD FOR CONTROLLING FUEL CELL	Tag
14	149	HUMIDIFIER	Tag
-1	150	WATER STORAGE LID	Tag
8	151	CAMERA MODULE AND MOBILE DEVICE INCLUDING THE SAME	Tag
-1	152	GROUNDS MAINTENANCE VEHICLE	Tag
-1	153	Multiport Valve	Tag
20	154	Fixed Crank Driving Mechanism	Tag
-1	155	VEHICULAR PARKING LOCK MECHANISM	Tag
20	156	DEVICE FOR RECEIVING, TRANSPORTING AND STORING PIECES OF FURNITURE	Tag
-1	157	CHEMICALLY STRENGTHENED GLASS	Tag
-1	158	AEROSOL-GENERATING DEVICE WITH REDUCED LEAKAGE	Tag
15	159	Non-Aqueous Defoamer Compositions and Their Use to Control Foaming of Non-Aqueous Foams	Tag
-1	160	GAS SENSORS WITH NEGLIGIBLE RESPONSE TO HUMIDITY AND TEMPERATURE	Tag
17	161	NON-IRRITATING TESTOSTERONE EMULSIONS	Tag
-1	162	DYNAMIC SPATIOTEMPORAL BEAMFORMING SELF-DIAGONOSTIC SYSTEM	Tag
7	163	LIGHT EMITTING DISPLAY APPARATUS	Tag
-1	164	CONSTRUCTION PROJECT TRACKING	Tag
4	165	SYSTEM AND METHOD FOR CONTACTLESS DINING EXPERIENCE	Tag
-1	166	MODELING AND SIMULATION SYSTEM FOR OPTIMIZING PROSTHETIC HEART VALVE TREAMENT	Tag
-1	167	Piezoelectric Motor with Bending Travelling Wave	Tag
-1	168	DRIVER AIRBAG DEVICE	Tag
9	169	Method of accepting, acquiring, judging, developing, and promoting Screenplays for Digital Media & Film Production	Tag
4	170	STRUCTURE AND METHOD FOR FORMING CAPACITORS FOR A THREE-DIMENSIONAL NAND	Tag
10	171	UTILIZING SOFT CLASSIFICATIONS TO SELECT INPUT PARAMETERS FOR SEGMENTATION ALGORITHMS AND IDENTIFY SEGMENTS OF THREE-DIMENSIONAL DIGITAL MODELS	Tag
-1	172	MONITOR CIRCUITRY FOR POWER MANAGEMENT AND TRANSISTOR AGING TRACKING	Tag
-1	173	PIPE COUPLING MEMBER	Tag
0	174	SEMICONDUCTOR DEVICE	Tag
10	175	IMAGE SENSING DEVICE	Tag
-1	176	QUANTUM DOTS AND PREPARATION METHOD THEREOF, AND OPTICAL MEMBER AND ELECTRONIC DEVICE EACH INCLUDING QUANTUM DOTS	Tag
7	177	COMPACT MODE-LOCKED LASER MODULE	Tag
-1	178	FULL-LENGTH SCREEN PIPE HOLE PROTECTION DEVICE AND METHOD WITH PRESSURIZED HOLE PACKING IN SOFT COAL SEAM	Tag
-1	179	SYSTEMS FOR PRODUCING A SINGLE CRYSTAL SILICON INGOT USING A VAPORIZED DOPANT	Tag
4	180	HARDENING REGISTERS AGAINST SPECULATION VULNERABILITIES	Tag
-1	181	PROCESS FOR PREPARING 3-HYDROXY-3-METHYLBUTYRATE (HMB) AND SALTS THEREOF	Tag
-1	182	MICRO-LED STRUCTURE AND MICRO-LED CHIP INCLUDING SAME	Tag
11	183	MOTOR SHAFT STATE DETECTION METHOD, MOTOR CONTROL METHOD, MOTOR SHAFT STATE DETECTION DEVICE, MOTOR CONTROL DEVICE, VEHICLE HEIGHT ADJUSTMENT DEVICE, SADDLE-TYPE VEHICLE	Tag
1	184	BATTERY MODULE COOLING STRUCTURE	Tag
4	185	DATA TRANSMISSION METHOD AND APPARATUS, SYSTEM, AND STORAGE MEDIUM	Tag
-1	186	METAL COMPLEXES	Tag
6	187	DISPLAY DEVICE	Tag
4	188	SYSTEM AND METHOD FOR TRANSMITTING A NOTIFICATION TO A NETWORK	Tag
8	189	EYEGLASS LENS REPLACEMENT ASSEMBLY	Tag
0	190	MEASURING PIN-TO-PIN DELAYS BETWEEN CLOCK ROUTES	Tag
-1	191	STRADDLED VEHICLE	Tag
6	192	DISPLAY PANEL AND DISPLAY DEVICE	Tag
17	193	COMPOUNDS COMPRISING N-METHYL-2-PYRIDONE, AND PHARMACEUTICALLY ACCEPTABLE SALTS	Tag
4	194	UNIVERSAL BROWSE AND WATCH LIST	Tag
15	195	NUCLEATING AGENT, POLYOLEFIN-BASED RESIN COMPOSITION CONTAINING SAME, AND MOLDED ARTICLE THEREOF	Tag
4	196	MERGED INFRASTRUCTURE FOR MANUFACTURING AND LIFECYCLE MANAGEMENT OF BOTH HARDWARE AND SOFTWARE	Tag
17	197	PHARMACEUTICAL PARENTERAL COMPOSITION OF DUAL GLP1/2 AGONIST	Tag
-1	198	METHOD AND DEVICE FOR ACUTE TREATMENT OF FLUID OVERLOAD IN PATIENTS WITH HEART FAILURE	Tag
4	199	EDGE COMPUTE ENVIRONMENT AUTOMATIC SERVER CONFIGURATION TOOL	Tag
17	200	HYDROXYETHYLAMINE-BASED PIPERAZINE COMPOUNDS, AND METHODS OF PRODUCING AND USING THE SAME FOR TREATING DISEASE	Tag
18	201	PIN TRAP MECHANISM FOR SURGICAL LINEAR CUTTER	Tag
-1	202	MULTI-PORT AMPLIFIER WITH BASEBAND PROCESSING	Tag
10	203	FIXED RETAIL SCANNER WITH ANNOTATED VIDEO AND RELATED METHODS	Tag
12	204	FOUNTAIN SOLUTION THICKNESS MEASUREMENT USING PHASE SHIFTED LIGHT INTERFERENCE IN A DIGITAL LITHOGRAPHY PRINTING SYSTEM	Tag
15	205	LIQUID-REPELLENT HEAT SEALABLE FILM AND COATING AGENT	Tag
0	206	INSET POWER POST AND STRAP ARCHITECTURE WITH REDUCED VOLTAGE DROOP	Tag
-1	207	IN-CAVITY CLEANING METHOD	Tag
6	208	PIXEL ARRAY SUBSTRATE	Tag
15	209	PRO-BIOFILM COATING, METHOD FOR THE PRODUCTION THEREOF AND SUBSTRATE COATED WITH THE SAME	Tag
-1	210	Food Materials Comprising Filamentous Fungal Particles and Membrane Bioreactor Design	Tag
-1	211	MANUFACTURING METHOD WITH ADDITIVE COMPONENT PRODUCTION AND POST-PROCESSING	Tag
-1	212	WIPER-SCRAPER WITH ENERGIZING SPRING	Tag
-1	213	Controlling Undesirable Plants Using Electrical Energy	Tag
6	214	DISPLAY DEVICE	Tag
4	215	Management Method and Apparatus	Tag
17	216	A SOLID DOSAGE FORM COMPRISING ZINC GLUCONATE AND INOSINE PRANOBEX, A METHOD FOR ITS PREPARATION AND ITS APPLICATIONS	Tag
-1	217	CAR PROVIDED WITH AN EXHAUST SYSTEM WITH AERODYNAMIC EFFECT	Tag
17	218	PHARMACEUTICAL COMPOSITIONS AND COMBINATIONS COMPRISING INHIBITORS OF THE ANDROGEN RECEPTOR AND USES THEREOF	Tag
-1	219	Golf Training Aid and Method	Tag
-1	220	INPUT DEVICE	Tag
4	221	PREDICTIVE FINANCIAL, INVENTORY, AND STAFFING MANAGEMENT SYSTEM	Tag
18	222	SURGICAL TOOL WITH TOOL-BASED TRANSLATION AND LOCK FOR THE SAME	Tag
6	223	DISPLAY DEVICE INCLUDING MULTIPLEXER AND METHOD OF DRIVING THE SAME	Tag
-1	224	SYSTEM AND METHOD FOR INSPECTING AN OBJECT FOR DEFECTS	Tag
11	225	ELECTRIC MOTOR ASSEMBLIES AND SPINDLE ASSEMBLIES FOR ROTATION	Tag
13	226	HEATING AND COOLING SYSTEMS AND APPARATUSES WITH PHASE CHANGE MATERIALS	Tag
14	227	LAUNDRY TREATMENT APPARATUS	Tag
18	228	METHODS AND DEVICES FOR TREATING ILIOCAVAL COMPRESSION, OCCLUSION, REDUCTION OF VENOUS CALIBER, AND SYNDROMES AND DISEASE STATES RESULTING FROM OCCLUSION	Tag
-1	229	A COOKING DEVICE AND COOKING METHOD	Tag
-1	230	OVER-THE-SHOULDER BAG	Tag
14	231	TANK DEVICE	Tag
9	232	BUFFER ACCESS METHODS FOR INTRA BLOCK COPY IN VIDEO CODING	Tag
-1	233	Self-Retracting Lifeline Communications Systems	Tag
6	234	DISPLAY DEVICE	Tag
-1	235	HEADBAND FOR A HEADSET AND A METHOD FOR ASSEMBLY OF A HEADBAND FOR A HEADSET	Tag
-1	236	MAGNETIC HEAD WITH ASSISTED MAGNETIC RECORDING AND METHOD OF MAKING THEREOF	Tag
4	237	METHOD AND DEVICE FOR INFORMATION PROCESSING, AND STORAGE MEDIUM	Tag
16	238	LARGE DATA SET NEGATIVE INFORMATION STORAGE MODEL	Tag
-1	239	WRISTBAND AND WRISTWATCH	Tag
-1	240	APPARATUS AND PROCESS FOR DETERMINING THE DISTANCE BETWEEN A GLASS SUBSTRATE AND A COATER	Tag
6	241	DISPLAY DEVICE	Tag
-1	242	ACCESSORY HOLDER FOR ATTACHING AN ACCESSORY TO A SURFACE	Tag
6	243	Electroluminescent Display Device	Tag
-1	244	METAL-MICROPARTICLE-CONTAINING INK	Tag
0	245	SEMICONDUCTOR DEVICE AND METHOD OF MANUFACTURING SEMICONDUCTOR DEVICE	Tag
4	246	IMPLEMENTING PAY-AS-YOU-GO (PAYG) AUTOMATED MACHINE LEARNING AND AI	Tag
15	247	Opaque Compositions and Methods for the Same	Tag
-1	248	ORGANIC LIGHT-EMITTING DEVICE AND AN APPARATUS INCLUDING THE SAME	Tag
0	249	WAFER DEFECT PREDICTION DEVICE AND OPERATING METHOD THEREOF	Tag
2	250	HYBRID SOLAR/MOTOR DRIVE INVERTER	Tag
-1	251	Automatic Heating Vending Machine	Tag
0	252	DETECTING SHARED RESCOURCES AND COUPLING FACTORS	Tag
17	253	Adult Liver Progenitor Cells for Treating Non-Alcoholic Fatty Liver Disease	Tag
-1	254	A CLOSURE ASSEMBLY COMPRISING A CAP WITH INTEGRATED TAMPER-EVIDENT RING AND STRAP	Tag
19	255	VEHICLE DIAGNOSIS AND REPAIR	Tag
4	256	METHOD AND APPARATUS FOR RANDOM ACCESS IN WIRELESS COMMUNICATION SYSTEMS	Tag
15	257	METHOD FOR PRODUCING PERFLUOROELASTOMER AND COMPOSITION	Tag
4	258	INFORMATION PROCESSING DEVICE, INFORMATION PROCESSING METHOD, AND INFORMATION PROCESSING SYSTEM	Tag
20	259	SELECTABLE-WIDTH PUSH PLOW	Tag
-1	260	OPTICAL FILTER, OPTICAL DEVICE, AND HEAD-MOUNTED DISPLAY	Tag
-1	261	NEUROMODULATION APPARATUS, METHOD AND SYSTEM	Tag
-1	262	FACILITATING SEARCH AND RESCUE	Tag
-1	263	SYSTEMS AND METHODS FOR DISTRIBUTED RENDERING USING TWO-LEVEL BINNING	Tag
8	264	CAMERA MODULE HAVING GYRO SENSOR AND CAMERA INCLUDING THE SAME	Tag
-1	265	HINGE STRUCTURE AND FOLDALE ELECTRONIC DEVICE INCLUDING THE SAME	Tag
-1	266	Rotary Wiper System	Tag
6	267	DISPLAY DEVICE INCLUDING HYDROGEN DIFFUSION BARRIER FILM, AND METHOD FOR MANUFACTURING SAME	Tag
-1	268	AUTOMATED CONTENT CURATION FOR GENERATING COMPOSITE AUGMENTED REALITY CONTENT	Tag
7	269	METHOD FOR FABRICATING AN OPTICAL SOURCE FOR CALIBRATING AN OPTICAL SYSTEM	Tag
-1	270	CORDLESS POWER TOOL SYSTEM COMPATIBLE WITH MULTIPLE BATTERY PACKS	Tag
4	271	AUTOMATIC CREATION AND EXECUTION OF A TEST HARNESS FOR WORKFLOWS	Tag
4	272	METHOD AND APPARATUS FOR REALIZING UPLINK POSITIONING, AND STORAGE MEDIUM	Tag
17	273	ALL PURPOSE CLEANER, DISINFECTANT, DUST SUPPRESSANT, BIOAEROSOL PARTICLE REMOVER, AND PESTICIDE MICROEMULSION FORMULATION AND METHOD OF USE	Tag
-1	274	ORGANIC DEVICE, GROUP OF MASKS, MASK, AND MANUFACTURING METHOD FOR ORGANIC DEVICE	Tag
10	275	IMAGE PROCESSING APPARATUS, DISPLAY CONTROL METHOD, AND COMPUTER-READABLE STORAGE MEDIUM FOR STORING PROGRAM	Tag
4	276	DEVICE MANAGEMENT SYSTEM AND NON-TRANSITORY COMPUTER-READABLE STORAGE MEDIUM STORING DEVICE MANAGEMENT PROGRAM	Tag
4	277	SYSTEMS AND METHODS FOR PROTECTION AGAINST THEFT OF USER CREDENTIALS	Tag
-1	278	CIGARETTE ROLLING MACHINE	Tag
-1	279	SYSTEMS, DEVICES, AND METHODS FOR ANALYTE MONITORING	Tag
10	280	METHOD AND APPARATUS FOR RECOGNIZING PIXEL POINT, ILLUMINATION RENDERING METHOD AND APPARATUS, ELECTRONIC DEVICE, AND STORAGE MEDIUM	Tag
0	281	POWER MODULE WITH ENHANCED HEAT DISSIPATION	Tag
-1	282	REGENERATION VESSEL ADSORPTION ZONE AND PROCESS FOR ADSORBING HALOGEN-CONTAINING MATERIAL AND SAMPLING CATALYST	Tag
4	283	FORMING A BLOCKCHAIN IN LOW-BANDWIDTH, RESOURCE-CONSTRAINED NETWORK	Tag
-1	284	AIR MATTRESS	Tag
17	285	NOVEL OLIGOPEPTIDE, AND PHARMACEUTICAL COMPOSITION FOR PREVENTING OR TREATING CANCER, COMPRISING THE SAME AS AN ACTIVE INGREDIENT	Tag
15	286	RESIST COMPOSITION, METHOD OF FORMING RESIST PATTERN, COMPOUND, AND RESIN	Tag
1	287	STABILIZED SOLID GARNET ELECTROLYTE AND METHODS THEREOF	Tag
-1	288	PAVER STONE DECK DRAIN	Tag
-1	289	MANUFACTURING METHOD, INJECTION MOLDING SYSTEM, AND MOLD	Tag
-1	290	DIFFERENTIAL HALL SENSOR	Tag
-1	291	PLANNING APPARATUS FOR PLANNING A RADIATION THERAPY	Tag
17	292	ENTEROVIRUS INHIBITOR	Tag
-1	293	STABILIZED INK COMPRISING SEMICONDUCTOR PARTICLES AND USES THEREOF	Tag
4	294	Method and Apparatus for Dual Multiplication Units in a Data Path	Tag
-1	295	PULSE WIDTH MODULATION AND VOLTAGE TEST SIGNALS FOR FAN TYPE DETECTION	Tag
4	296	Method and Apparatus for Managing Notification Bar Message	Tag
19	297	METHOD, APPARATUS, AND SYSTEM FOR VERIFYING A LANE CLOSURE USING PROBE DATA	Tag
6	298	Display Method for Side Area of Screen and Electronic Device	Tag
-1	299	ELECTROMAGNETIC INTERFERENCE FILTER SYSTEM AND METHOD	Tag
-1	300	DISPLAY CONTROL METHOD AND DEVICE	Tag
-1	301	PARTITION SUPPORT STRUCTURE MOUNTING TRACK	Tag
4	302	SYSTEM AND METHOD FOR FACILITATING DATA-DRIVEN INTELLIGENT NETWORK WITH FLOW CONTROL OF INDIVIDUAL APPLICATIONS AND TRAFFIC FLOWS	Tag
19	303	VEHICLE	Tag
